MuMu_2018_SR1 Bin (SR1_MNbin2     ): Content = 1.729     , Error = 0.021 , Error Perc. =1.215
MuMu_2018_SR3 Bin (SR3_bin16      ): Content = 0.123     , Error = 0.005 , Error Perc. =4.065
MuMu_2018_SR2 Bin (SR2_HTLTbin1   ): Content = 0.063     , Error = 0.004 , Error Perc. =6.349
MuMu_2018_SR2 Bin (SR2_HTLTbin4   ): Content = 0.06      , Error = 0.004 , Error Perc. =6.667
MuMu_2018_SR3 Bin (SR3_bin6       ): Content = 0.034     , Error = 0.002 , Error Perc. =5.882
MuMu_2018_SR2 Bin (SR2_HTLTbin2   ): Content = 0.031     , Error = 0.003 , Error Perc. =9.677
MuMu_2018_SR3 Bin (SR3_bin20      ): Content = 0.027     , Error = 0.002 , Error Perc. =7.407
MuMu_2018_SR3 Bin (SR3_bin4       ): Content = 0.023     , Error = 0.002 , Error Perc. =8.696
MuMu_2018_SR3 Bin (SR3_bin9       ): Content = 0.014     , Error = 0.002 , Error Perc. =14.286
MuMu_2018_SR3 Bin (SR3_bin15      ): Content = 0.005     , Error = 0.001 , Error Perc. =20.0
MuMu_2018_SR2 Bin (SR2_HTLTbin3   ): Content = 0.003     , Error = 0.001 , Error Perc. =33.333
MuMu_2018_SR3 Bin (SR3_bin14      ): Content = 0.002     , Error = 0.001 , Error Perc. =50.0
MuMu_2018_SR2 Bin (SR2_HTLTbin5   ): Content = 0.001     , Error = 0.001 , Error Perc. =100.0
MuMu_2018_SR1 Bin (SR1_MNbin1     ): Content = -0.0      , Error = 0.0   , Error Perc. =0.0
MuMu_2018_SR3 Bin (SR3_bin1       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2018_SR3 Bin (SR3_bin2       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2018_SR3 Bin (SR3_bin3       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2018_SR3 Bin (SR3_bin5       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2018_SR3 Bin (SR3_bin7       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2018_SR3 Bin (SR3_bin8       ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2018_SR3 Bin (SR3_bin10      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2018_SR3 Bin (SR3_bin11      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2018_SR3 Bin (SR3_bin12      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2018_SR3 Bin (SR3_bin13      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2018_SR3 Bin (SR3_bin17      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2018_SR3 Bin (SR3_bin18      ): Content = 0.0       , Error = 0.0   , Error Perc. =0.0
MuMu_2018_SR3 Bin (SR3_bin19      ): Content = -0.0      , Error = 0.0   , Error Perc. =0.0
